code,name_ja,name_en,region,centroid_lat,centroid_lon
01,北海道,Hokkaido,北海道,43.0642,141.3469
02,青森県,Aomori,東北,40.8246,140.7406
03,岩手県,Iwate,東北,39.7036,141.1527
04,宮城県,Miyagi,東北,38.2688,140.8721
05,秋田県,Akita,東北,39.7186,140.1024
06,山形県,Yamagata,東北,38.2404,140.3633
07,福島県,Fukushima,東北,37.7503,140.4675
08,茨城県,Ibaraki,関東,36.3418,140.4467
09,栃木県,Tochigi,関東,36.5658,139.8836
10,群馬県,Gunma,関東,36.3911,139.0608
11,埼玉県,Saitama,関東,35.8569,139.6489
12,千葉県,Chiba,関東,35.6051,140.1233
13,東京都,Tokyo,関東,35.6895,139.6917
14,神奈川県,Kanagawa,関東,35.4478,139.6425
15,新潟県,Niigata,中部,37.9026,139.0232
16,富山県,Toyama,中部,36.6953,137.2113
17,石川県,Ishikawa,中部,36.5947,136.6256
18,福井県,Fukui,中部,36.0652,136.2216
19,山梨県,Yamanashi,中部,35.6642,138.5684
20,長野県,Nagano,中部,36.6513,138.181
21,岐阜県,Gifu,中部,35.3912,136.7223
22,静岡県,Shizuoka,中部,34.9769,138.3831
23,愛知県,Aichi,中部,35.1815,136.9066
24,三重県,Mie,近畿,34.7303,136.5086
25,滋賀県,Shiga,近畿,35.0045,135.8686
26,京都府,Kyoto,近畿,35.0211,135.7556
27,大阪府,Osaka,近畿,34.6863,135.5199
28,兵庫県,Hyogo,近畿,34.6913,135.1830
29,奈良県,Nara,近畿,34.6851,135.8327
30,和歌山県,Wakayama,近畿,34.2261,135.1675
31,鳥取県,Tottori,中国,35.5036,134.2381
32,島根県,Shimane,中国,35.4723,133.0505
33,岡山県,Okayama,中国,34.6618,133.9344
34,広島県,Hiroshima,中国,34.3963,132.4596
35,山口県,Yamaguchi,中国,34.1859,131.4706
36,徳島県,Tokushima,四国,34.0658,134.5593
37,香川県,Kagawa,四国,34.3401,134.0434
38,愛媛県,Ehime,四国,33.8416,132.7657
39,高知県,Kochi,四国,33.5597,133.5311
40,福岡県,Fukuoka,九州,33.6064,130.4181
41,佐賀県,Saga,九州,33.2494,130.2989
42,長崎県,Nagasaki,九州,32.7448,129.8737
43,熊本県,Kumamoto,九州,32.7898,130.7417
44,大分県,Oita,九州,33.2382,131.6126
45,宮崎県,Miyazaki,九州,31.9111,131.4239
46,鹿児島県,Kagoshima,九州,31.5602,130.5581
47,沖縄県,Okinawa,沖縄,26.2125,127.6809
